interval,xAcc,yAcc,zAcc,xAccGrav,yAccGrav,zAccGrav,alphaRotRate,betaRotRate,gammaRotRate,alpha,beta,gamma
0.01666666753590107,1.1416520607091485,-1.587825071761012,-1.4110042775213718,-0.08334821835942566,-1.092953094393946,-11.128249316406249,-101.26491738936431,-111.81054505275641,-31.613052460162116,46.82600643054612,-2.8925395858439606,-7.185064929748874
0.01666666753590107,1.1416520607091485,-1.587825071761012,-1.4110042775213718,-0.08334821835942566,-1.092953094393946,-11.128249316406249,-101.26491738936431,-111.81054505275641,-31.613052460162116,46.82600643054612,-2.8925395858439606,-7.185064929748874
0.01666666753590107,1.1416520607091485,-1.587825071761012,-1.4110042775213718,-0.08334821835942566,-1.092953094393946,-11.128249316406249,-101.26491738936431,-111.81054505275641,-31.613052460162116,46.82600643054612,-2.8925395858439606,-7.185064929748874
0.01666666753590107,-0.1974357122451067,-0.2449918286681175,-0.06400690048635005,-2.9934999709531662,9.007136283111572,-1.7224787491396067,1.4884469902036377,-7.776153294586592,7.136481319379157,302.2041216720363,-70.64003209301676,-59.32590850045573
0.01666666753590107,-0.2251800437390804,-0.2464519643485546,0.046696284723281856,-3.012204963684082,9.009530484771728,-1.6054619968689978,-0.8528005577382787,-6.95591715782023,1.9537115790586785,302.34771656719806,-70.70807345791061,-59.340385681907534
0.01666666753590107,-0.20079349824041126,-0.09484802895188331,0.11741291198134422,-2.989609685516357,9.163657216644287,-1.5174747935973107,-5.6283285930897975,-3.4606169420508643,0.49402523478949506,302.1601787248751,-70.75273985426401,-59.61988824558739
0.01666666753590107,-0.04630933123230934,-0.10188274989426135,0.028602409628033638,-2.8303955673769114,9.161263014984131,-1.5879541049681603,-7.631288397385206,-0.6649169947100373,3.1234502032018856,301.9313971849572,-70.83515907546251,-59.85876213159931
0.01666666753590107,-0.04882423666268587,-0.03440262033939361,-0.07446399709284306,-2.8227637573242186,9.235333628845215,-1.6705545006349682,-8.364381992512785,-0.2889099048981049,4.340979660967672,301.69622121530296,-70.95279733375469,-60.08441117518039
0.01666666753590107,-0.11661533186286688,0.17335925560891627,-0.28681846152842044,-2.882020248413086,9.44856779872477,-1.8658317196719347,-5.447877983425823,-1.2984313409372945,3.372717743518089,301.51019985715163,-71.0510077611579,-60.274148429430824
0.01666666753590107,0.010836451312899589,0.05356149431765079,-0.4258697893440723,-2.743306189727783,9.3331966217041,-1.9985598358154295,0.802686499302543,-2.207824711704183,4.36963571963046,301.55628036052235,-71.13081811267291,-60.27246512743564
0.01666666753590107,0.03819967453479767,-0.032090251743793485,-0.2122930896371603,-2.697965995788574,9.252243262591957,-1.7886182777404784,0.9268014952488413,0.07841490724104375,6.457038006408383,301.8110514706229,-71.21587595668146,-60.05343812109953
0.01666666753590107,0.004579144483804702,-0.07648410474359989,-0.08452303429245948,-2.7150246826171873,9.21258871307373,-1.6615760982789098,-0.7025320204080611,2.0679778691086415,6.280554455991716,301.95862176731515,-71.30205841690979,-59.89126683187094
0.01666666753590107,-0.018379706299304962,-0.022614567390084266,0.042836102163791655,-2.817975354003906,9.223512258148192,-1.6428711055479943,-0.3314077421203209,1.0145873553300764,3.7165902340281396,302.8361410894987,-70.53453847332865,-58.94679295494716
0.01666666753590107,0.03277209652811289,-0.2063625305444002,0.18417583317756653,-2.7533319091796873,9.02135185546875,-1.6205752487182616,1.7268198451851424,-2.9559936015470365,0.8965826039265893,304.6456025708551,-70.2142531397248,-57.066094943190976
0.01666666753590107,-0.01503098039329052,-0.2500274847477674,0.3062444620102644,-2.784755805969238,8.975113835906981,-1.5364792076662181,0.8125283750097083,-4.185851977651518,0.03113459023828332,305.3479261852209,-70.1698888055565,-56.36380950427977
0.01666666753590107,-0.04141220684051514,-0.12519757450819013,0.5255886392027139,-2.7955300057008863,9.106495652008055,-1.307683457648009,-4.828157844557641,-3.157104466233242,-1.2667474807597807,305.4096457627505,-70.28304128495549,-56.350371200570585
0.01666666753590107,-0.08177198201864957,-0.07637421462833881,0.3942740431189537,-2.8383260681152342,9.162161425128579,-1.4004580413267016,-6.646608626161617,-2.897033701084194,-2.004235342122909,304.87201540024597,-70.40187578464867,-56.932727365614895
0.01666666753590107,0.02852729856520891,0.07696984243392944,0.07078676988482475,-2.7455507537841797,9.319430546680092,-1.6760907997131347,-5.497545411522863,-3.5232847814593775,-1.515984498668131,304.0696732937089,-70.47036038928249,-57.800776217736114
0.01666666753590107,0.16159516805708407,-0.05469722034931183,-0.18073650637865066,-2.623895674188435,9.189095609283447,-1.902193365124613,-0.29281826720723314,-5.8471221772069315,0.5019597801709342,303.69604492580737,-70.49365868158077,-58.28358267364859
0.01666666753590107,0.21456191135197877,-0.017778817796707154,-0.1564174731582403,-2.5764602615356442,9.226355957141518,-1.8670283821105955,2.135999509609387,-4.937011850020603,2.042181952160796,303.5836822678969,-70.49963959706584,-58.49596522885083
0.01666666753590107,0.2250172543928027,0.04481763136982918,-0.016992635855078698,-2.569726569366455,9.29578722076416,-1.6840217388428746,1.3556039729934153,-2.0262298319108196,3.3378667032780993,302.9924936610885,-70.6196248707153,-59.18446325241677
0.01666666753590107,0.19199439797401427,0.10000117393136024,0.030068975049257277,-2.5968109756469726,9.357139222827554,-1.612495110376179,-0.5230886502032513,0.5213623198905306,5.113348551370114,302.7092927672806,-70.72852256413954,-59.502560208156005
0.01666666753590107,0.2354398642078042,0.05703238529860973,-0.0026829554736614225,-2.53456173248291,9.319729237365722,-1.645714658410847,-0.23372096254819694,-0.28434755197594797,7.2411257938792755,302.8879733813809,-70.82716793458923,-59.32561935300397
